"Name","ID","InjuriesPerTurtle","Date","CCLmin","CCLmax","BodyPart","InjuryType","InjuryStage","Nature","Source"
"Forest ",2248,"0","7/18/2022",94,94.1,NA,NA,NA,"4",NA
"Pirato",2249,"1","7/18/2022",116.8,116.9,"LRF","AMP","Healed/Scar","3","Unknown"
"Beret",2259,"0","7/20/2022",104.6,105.1,NA,NA,NA,"4",NA
"Gator ",2260,"0","7/20/2022",106.5,107.1,NA,NA,NA,"4",NA
"Croc",2261,"0","7/20/2022",108.8,108.9,NA,NA,NA,"4",NA
"Grecko",2262,"0","7/21/2022",104.5,104.8,NA,NA,NA,"4",NA
"Lizarol ",2263,"1","7/21/2022",116.9,117,"LRF","FLP","Healed/Scar","2","Shark"
"Parakeet",2264,"0","7/21/2022",98.2,99,NA,NA,NA,"4",NA
"Iguana",2266,"0","7/25/2022",105.1,105.7,NA,NA,NA,"4",NA
"Mystery ",2272,"0","27-Jul",110,110.2,NA,NA,NA,"4",NA
"Pine ",2268,"0","7/27/2022",103.2,103.3,NA,NA,NA,"4",NA
"Toad",2269,"0","7/27/2022",102,102.1,NA,NA,NA,"4",NA
"Peacock",2271,"0","7/27/2022",107.4,107.5,NA,NA,NA,"4",NA
"Jungle ",2273,"1","7/27/2022",108.5,109.2,"MULTI","Unknown",NA,"3",NA
"Tiny ",2274,"0","7/28/2022",92,92.3,NA,NA,NA,"4",NA
"Cactus",2275,"0","7/28/2022",103.1,103.4,NA,NA,NA,"4",NA
"Fern ",2276,"0","7/28/2022",99,100,NA,NA,NA,"4",NA
"Booger",2277,"0","7/28/2022",NA,NA,NA,NA,NA,"4",NA
"Leanna",2278,"0","7/28/2022",NA,NA,NA,NA,NA,"4",NA
"Kayballl",1104,"0","8/4/2022",102.9,103,NA,NA,NA,"4",NA
"Joan ",757,"0","8/3/2022",90.9,91.3,NA,NA,NA,"4",NA
"Palm ",2285,"1","8/3/2022",104.9,105.1,"LFF","FLP","Unknown","3","Unknown"
"Monster",2286,"0","8/3/2022",104.1,104.6,NA,NA,NA,"4",NA
"Algae",2287,"0","8/3/2022",96.7,98.1,NA,NA,NA,"4",NA
"Goop",2288,"0","8/3/2022",110.3,111,NA,NA,NA,"4",NA
"Slime ",2289,"0","8/3/2022",108.4,108.5,NA,NA,NA,"4",NA
"Muriel",2290,"0","8/3/2022",104,104.2,NA,NA,NA,"4",NA
"Lantern",2291,"0","8/4/2022",100.5,101,NA,NA,NA,"4",NA
"Pistachio ",2292,"3","8/4/2022",97.4,97.4,"CAR","CAR","Healed/Scar","3","Unknown"
"Cya",2293,"0","8/4/2022",104.9,105.4,NA,NA,NA,"4",NA
"Finale ",2295,"0","8/4/2022",108.7,109.7,NA,NA,NA,"4",NA
"Arun ",2296,"1","8/4/2022",105.2,105.5,"CAR","CAR","Healed/Scar","3","Unknown"
"Jernathan ",2338,"0","5/24/2023",107.3,107.8,NA,NA,NA,"4",NA
"Melinda",2345,"1","5/29/2023",106.8,107,"RRF","AMP","Stage5(scar)","3","Unknown"
"Army ",2346,"1","5/30/2023",115.3,115.4,"CAR","LAC","Stage5(scar)","1","Boat"
"Muti ",761,"0","5/30/2023",98.2,98.5,NA,NA,NA,"4",NA
"Tooty ",2348,"0","5/31/2023",100.9,101.2,NA,NA,NA,"4",NA
"Analise ",2347,"3","5/30/2023",106.1,16.1,"RFF","FLP","Stage5(scar)","3","Unknown"
"Sage",2353,"1","6/4/2023",95.5,96,"LRF","FLP","Stage5(scar)","3","Unknown"
"Alina ",2351,"1","6/3/2023",106.1,106.1,"CAR","CAR","Stage5(scar)","3","Unknown"
"Sarga",2354,"2","6/4/2023",95.9,96,"LRF","AMP","Stage5(scar)","3","Unknown"
"Mint ",2359,"0","6/8/2023",100.3,100.5,NA,NA,NA,"4",NA
"Beyonce",2360,"0","6/9/2023",101.8,102.2,NA,NA,NA,"4",NA
"Solange ",2361,"0","6/10/2023",109,110,NA,NA,NA,"4",NA
"Lucie",2066,"0","6/10/2023",110,113.4,NA,NA,NA,"4",NA
"Nicola ",734,"0","6/11/2023",96.8,96.8,NA,NA,NA,"4",NA
"Carrot ",2363,"0","6/10/2023",105,106,NA,NA,NA,"4",NA
"Copper",2364,"1","6/11/2023",103,103.4,"RFF","FLP","Stage5(scar)","2","Shark"
"Olgi ",2366,"0","6/13/2023",102.9,103.6,NA,NA,NA,"4",NA
"Eleven",2365,"0","13-Jun",114.4,114.6,NA,NA,NA,"4",NA
"Moss",2369,"0","6/15/2020",100.6,100.8,NA,NA,NA,"4",NA
"R2D2",2370,"0","6/16/2020",104.1,104.6,NA,NA,NA,"4",NA
"Brieanna",755,"0","6/21/2023",106.8,107.2,NA,NA,NA,"4",NA
"Frank ",2371,"0","6/21/2023",100.4,101.2,NA,NA,NA,"4",NA
"SBS",2372,"1","6/21/2023",109.1,109.5,"CAR","LAC","Stage1(fresh)","1","Boat"
"Bamboo ",2374,"2","6/22/2023",103.2,104,"CAR","LAC","Stage5(scar)","1","Boat"
"La Derrius ",2343,"0","6/21/2023",102,102.7,NA,NA,NA,"4",NA
"Chartreuse",2377,"0","6/22/2023",110,110.2,NA,NA,NA,"4",NA
"Lucky ",2376,"1","6/22/2023",107.1,107.4,"RRF","FLP","Stage5(scar)","2","Shark"
"Pesto ",2378,"0","6/22/2023",103.2,103.8,NA,NA,NA,"4",NA
"Wayne ",713,"0","7/10/2023",110.9,111.3,NA,NA,NA,"4",NA
"Malachite ",2398,"1","7/5/2023",100.2,100.6,"LRF","FLP","Stage5(scar)","3","Unknown"
"Spearmint ",2394,"0","7/5/2023",101.4,102,NA,NA,NA,"4",NA
"Spring ",2395,"0","7/5/2023",98.4,98.9,NA,NA,NA,"4",NA
"Seaweed",2396,"1","7/5/2023",98.5,99,"LRF","AMP","Stage5(scar)","2","Shark"
"Agave",2397,"2","7/6/2023",102.9,102.9,"CAR","CAR","Stage5(scar)","1","FSH"
"Celadon ",2402,"0","7/6/2023",104.3,104.6,NA,NA,NA,"4",NA
"Alien ",2403,"1","7/6/2023",108.4,108.9,"CAR","LAC","Stage5(scar)","3","Unknown"
"Mantis ",2405,"0","7/8/2023",100.7,100.7,NA,NA,NA,"4",NA
"Inchworm ",2406,"0","7/8/2023",104.7,105.1,NA,NA,NA,"4",NA
"Scarab ",2407,"0","7/8/2023",108.7,109.2,NA,NA,NA,"4",NA
"Henke",2408,"0","7/8/2023",102.2,102.7,NA,NA,NA,"4",NA
"Absinthe ",2409,"1","7/9/2023",103.9,104.5,"RRF","FLP","Stage5(scar)","2","Shark"
"Kermita",2410,"0","7/9/2023",96.3,97,NA,NA,NA,"4",NA
"Grouch",2411,"1","7/9/2023",103.2,109,"CAR","LAC","Stage3(yellow)","1","Boat"
"Leaves",2413,"0","7/10/2023",104.8,106.8,NA,NA,NA,"4",NA
"Meparin ",2414,"0","7/10/2023",101.7,102.4,NA,NA,NA,"4",NA
"Kudin ",2415,"0","7/11/2023",104.1,104.4,NA,NA,NA,"4",NA
"Millie ",2416,"1","7/12/2023",96.9,97.5,"RRF","FLP","Stage5(scar)","3","Unknown"
"Ella ",2417,"0","7/13/2023",103.6,104,NA,NA,NA,"4",NA
"Sadie",2418,"0","7/13/2023",106.7,107.3,NA,NA,NA,"4",NA
"Colton ",2421,"0","7/16/2023",106.8,107.3,NA,NA,NA,"4",NA
"Effed ",2424,"3","7/6/2023",103.3,103.7,"RRF","Unknown","","3",NA
"Tarragen ",2422,"1","7/16/2023",104.2,104.5,"LRF","FLP","Stage5(scar)","3","Unknown"
"Diatom ",2425,"1","7/18/2023",101.2,101.2,"CAR","LAC","Stage5(scar)","1","Boat"
"Shiso ",2426,"0","7/19/2023",101.5,101.9,NA,NA,NA,"4",NA
"Borealis ",2429,"1","7/21/2023",109.8,109.8,"CAR","LAC","Stage5(scar)","1","Boat"
"Kakari ",2431,"0","7/26/2023",107.3,107.5,NA,NA,NA,"4",NA
"Thumb",2434,"0","8/3/2023",111.2,111.8,NA,NA,NA,"4",NA
