Name,ID,InjuriesPerTurtle,Date,CCL min (cm),CCL max (cm),Body Part ,Injury Type ,Injury Stage,Nature,Source
Pistachio ,2292,3,8/4/22,97.4,97.4,CAR,CAR,Healed/scar,3,Unknown
Pistachio 2,,,,,,CAR,CAR,Healed/scar,3,Unknown
,,,,,,CAR,CAR,Healed/scar,1,Boat
Cya,2293,0,8/4/22,104.9,105.4,NA,NA,NA,4,NA
Finale ,2295,0,8/4/22,108.7,109.7,NA,NA,NA,4,NA
Arun ,2296,1,8/4/22,105.2,105.5,CAR,CAR,Healed/scar,3,Unknown
Jernathan ,2338,0,5/24/23,107.3,107.8,NA,NA,NA,4,NA
Melinda,2345,1,5/29/23,106.8,107,RRF,AMP,Stage 5 (scar),3,Unknown 
Army ,2346,1,5/30/23,115.3,115.4,CAR,LAC,Stage 5 (scar),1,Boat 
Muti ,761,0,5/30/23,98.2,98.5,NA,NA,NA,4,NA
Tooty ,2348,0,5/31/23,100.9,101.2,NA,NA,NA,4,NA
Analise ,2347,3,5/30/23,106.1,16.1,RFF,FLP,Stage 5 (scar),3,Unknown 
Analise 2,,,,,,RRF,FLP,Stage 5 (scar),3,Unknown 
Analise 3,,,,,,LRF,FLP,Stage 5 (scar),3,Unknown 
Kiefer,756,0,6/3/23,112.5,112.6,NA,NA,NA,4,NA
Sage,2353,1,6/4/23,95.5,96,LRF,FLP,Stage 5 (scar),3,Unknown 
Alina ,2351,1,6/3/23,106.1,106.1,CAR,CAR,Stage 5 (scar),3,Unknown 
Sarga,2354,2,6/4/23,95.9,96,LRF,AMP,Stage 5 (scar),3,Unknown 
Sarga 2,,,,,,RRF,AMP,Stage 5 (scar),3,Unknown 
Jernathan ,2338,0,6/6/23,,,NA,NA,NA,4,NA
Mint ,2359,0,6/8/23,100.3,100.5,NA,NA,NA,4,NA
Beyonce,2360,0,6/9/23,101.8,102.2,NA,NA,NA,4,NA
Solange ,2361,0,6/10/23,109,110,NA,NA,NA,4,NA
Lucie,2066,0,6/10/23,110,113.4,NA,NA,NA,4,NA
Nicola ,734,0,6/11/23,96.8,96.8,NA,NA,NA,4,NA
Carrot ,2363,0,6/10/23,105,106,NA,NA,NA,4,NA
Copper,2364,1,6/11/23,103,103.4,RFF,FLP,Stage 5 (scar),2,Shark
Olgi ,2366,0,6/13/23,102.9,103.6,NA,NA,NA,4,NA
Eleven,2365,0,6/13,114.4,114.6,NA,NA,NA,4,NA
Moss,2369,0,6/15/20,100.6,100.8,NA,NA,NA,4,NA
R2D2,2370,0,6/16/20,104.1,104.6,NA,NA,NA,4,NA
Brieanna,755,0,6/21/23,106.8,107.2,NA,NA,NA,4,NA
Frank ,2371,0,6/21/23,100.4,101.2,NA,NA,NA,4,NA
SBS,2372,1,6/21/23,109.1,109.5,CAR,LAC,Stage 1( fresh),1,Boat 
Bamboo ,2374,2,6/22/23,103.2,104,CAR,LAC,Stage 5 (scar),1,Boat 
Bamboo 2,,,,,,CAR,FLP,Stage 5 (scar),2,Shark
La Derrius ,2343,0,6/21/23,102,102.7,NA,NA,NA,4,NA
Chartreuse,2377,0,6/22/23,110,110.2,NA,NA,NA,4,NA
Lucky ,2376,1,6/22/23,107.1,107.4,RRF,FLP,Stage 5 (scar),2,Shark
Pesto ,2378,0,6/22/23,103.2,103.8,NA,NA,NA,4,NA
Wayne ,713,0,7/10/23,110.9,111.3,NA,NA,NA,4,NA
Malachite ,2398,1,7/5/23,100.2,100.6,LRF,FLP,Stage 5 (scar),3,Unknown 
Spearmint ,2394,0,7/5/23,101.4,102,NA,NA,NA,4,NA
Spring ,2395,0,7/5/23,98.4,98.9,NA,NA,NA,4,NA
Seaweed,2396,1,7/5/23,98.5,99,LRF,AMP,Stage 5 (scar),2,Shark
Agave,2397,2,7/6/23,102.9,102.9,CAR,CAR,Stage 5 (scar),1,FSH
Agave 2,,,,,,LRF,AMP,Stage 5 (scar),3,Unknown 
Cocount,2398,3,7/6/23,113.3,113.6,LFF,AMP,Stage 5 (scar),3,Unknown 
Cocount 2,,,,,,RFF,FLP,Stage 5 (scar),3,Unknown 
Cocount 3,,,,,,CAR,CAR,Stage 5 (scar),2,Shark
Celadon ,2402,0,7/6/23,104.3,104.6,NA,NA,NA,4,NA
Alien ,2403,1,7/6/23,108.4,108.9,CAR,LAC,Stage 5 (scar),3,Unknown 
Mantis ,2405,0,7/8/23,100.7,100.7,NA,NA,NA,4,NA
Inchworm ,2406,0,7/8/23,104.7,105.1,NA,NA,NA,4,NA
Scarab ,2407,0,7/8/23,108.7,109.2,NA,NA,NA,4,NA
Henke,2408,0,7/8/23,102.2,102.7,NA,NA,NA,4,NA
Absinthe ,2409,1,7/9/23,103.9,104.5,RRF,FLP,Stage 5 (scar),2,Shark
Kermita,2410,0,7/9/23,96.3,97,NA,NA,NA,4,NA
Grouch,2411,1,7/9/23,103.2,109,CAR,LAC,Stage 3 (yellow),1,Boat 
Leaves,2413,0,7/10/23,104.8,106.8,NA,NA,NA,4,NA
Meparin ,2414,0,7/10/23,101.7,102.4,NA,NA,NA,4,NA
Kudin ,2415,0,7/11/23,104.1,104.4,NA,NA,NA,4,NA
Millie ,2416,1,7/12/23,96.9,97.5,RRF,FLP,Stage 5 (scar),3,Unknown 
Ella ,2417,0,7/13/23,103.6,104,NA,NA,NA,4,NA
Sadie,2418,0,7/13/23,106.7,107.3,NA,NA,NA,4,NA
Colton ,2421,0,7/16/23,106.8,107.3,NA,NA,NA,4,NA
Effed ,2424,3,7/6/23,103.3,103.7,RRF,Unknown ,,3,
Effed 2,,,,,,LRF,Unknown ,,3,
Effed 3,,,,,,CAR,LAC,Stage 5 (scar),3,Unknown 
Tarragen ,2422,1,7/16/23,104.2,104.5,LRF,FLP,Stage 5 (scar),3,Unknown 
Christina ,721,1,7/18/23,109.4,109.6,RRF,AMP,Stage 5 (scar),3,Unknown 
Diatom ,2425,1,7/18/23,101.2,101.2,CAR,LAC,Stage 5 (scar),1,Boat
Shiso ,2426,0,7/19/23,101.5,101.9,NA,NA,NA,4,NA
Borealis ,2429,1,7/21/23,109.8,109.8,CAR,LAC,Stage 5 (scar),1,Boat
Kakari ,2431,0,7/26/23,107.3,107.5,NA,NA,NA,4,NA
R2D2 (2),2370,0,8/2/23,102.9,103.2,NA,NA,NA,4,NA
Thumb,2434,0,8/3/23,111.2,111.8,NA,NA,NA,4,NA
